REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (hectares),Total farm value (dollars)
1908,ON,"Rye, all",28,1020,26200,25700,745
1908,ON,Sugar beets,0.61,26400,60800,2300,370
1908,ON,Tame hay,1.21,3270,4706000,1438000,57160
1908,ON,"Wheat, all",33,1495,491500,328900,16021
1908,ON,"Wheat, spring",32,1060,61500,57900,1961
1908,ON,"Wheat, winter remaining",33,1585,430000,NA,14060
1908,PP,Barley,18,1405,498000,354000,8755
1908,PP,Flaxseed,38,680,38100,56000,1457
1908,PP,Oats,19,1330,1492000,1121000,29049
1908,PP,"Peas, dry",15,1415,850,600,13
1908,PP,"Rye, all",25,1285,9000,7000,223
1908,PP,Sugar beets,0.55,18100,38100,2100,208
1908,PP,Tame hay,0.8,4000,320000,80000,2571
1908,PP,"Wheat, all",29,1100,2500000,2277000,72424
1908,PEI,Barley,28,1665,4000,2400,112
1908,PEI,Buckwheat,25,1500,2400,1600,60
1908,PEI,Corn for silage,0.44,1667,5000,300,22
1908,PEI,Mixed grains,25,2035,12400,6100,310
1908,PEI,Oats,26,1285,78000,60750,2023
1908,PEI,"Peas, dry",35,1600,400,250,14
1908,PEI,Tame hay,1.07,3900,378000,97000,4049
1908,PEI,"Wheat, all",35,960,10700,11150,370
1908,QU,Barley,21,1065,47200,44400,1012
1908,QU,"Beans, all dry (white and coloured)",63,1445,7000,4850,441
1908,QU,Buckwheat,31,1240,45950,37000,1435
1908,QU,Corn for grain,34,2105,28600,13600,963
1908,QU,Corn for silage,0.5,22470,400000,17800,2015
1908,QU,Mixed grains,34,1230,66300,53900,2269
1908,QU,Oats,35,875,547100,624200,19229
1908,QU,"Peas, dry",42,875,18350,21000,767
1908,QU,"Rye, all",34,1010,8300,8200,283
1908,QU,Tame hay,1.21,2690,3151000,1171000,38198
1908,QU,"Wheat, all",42,910,38800,42700,1633
1908,SK,Barley,18,1275,42000,33000,754
1908,SK,Flaxseed,39,645,29100,45000,1128
1908,SK,Oats,19,1195,450000,376000,8470
1908,SK,"Rye, all",45,1000,1000,1000,45
1908,SK,Tame hay,0.55,2400,24000,10000,133
1908,SK,"Wheat, all",27,975,946000,970000,25883
1909,AB,Barley,15,1745,131000,75000,2016
1909,AB,Flaxseed,41,1400,2800,2000,114
1909,AB,Oats,16,1785,592000,332000,9287
1909,AB,"Rye, all",20,1335,4000,3000,81
1909,AB,Sugar beets,0.55,18100,14500,800,80
1909,AB,Tame hay,0.99,4050,81000,20000,800
1909,AB,"Wheat, all",27,1675,261000,156000,7037
1909,BC,Barley,0,0,0,0,0
1909,BC,Oats,0,0,0,0,0
1909,BC,"Wheat, all",0,0,0,0,0
1909,CA,Barley,21,1600,1206450,755200,25434
1909,CA,"Beans, all dry (white and coloured)",52,1595,35950,22550,1881
1909,CA,Buckwheat,27,1485,169900,114350,4554
1909,CA,Corn for grain,26,3450,489600,142000,12760
1909,CA,Corn for silage,0.6,23060,2521000,109300,15116
1909,CA,Flaxseed,49,1005,56300,56000,2761
1909,CA,Mixed grains,28,1680,395850,235550,10916
1909,CA,Oats,22,1450,5451400,3764800,122390
1909,CA,"Peas, dry",32,1395,221650,159150,7124
1909,CA,"Rye, all",29,1180,43902,37181,1254
1909,CA,Sugar beets,0.64,19500,78000,4000,500
1909,CA,Tame hay,1.23,3240,10776000,3325000,132288
1909,CA,"Wheat, all",31,1445,4537850,3135950,141320
1909,MA,Barley,17,1610,454000,282000,7929
1909,MA,Flaxseed,52,900,8100,9000,418
1909,MA,Oats,20,1515,852000,563000,17178
1909,MA,"Peas, dry",17,1300,650,500,11
1909,MA,"Rye, all",23,1000,2000,2000,46
1909,MA,Tame hay,0.84,3100,155000,50000,1298
1909,MA,"Wheat, all",32,1260,1434000,1136000,45854
1909,MP,Barley,32,1445,10550,7300,334
1909,MP,Mixed grains,27,1905,20650,10850,561
1909,MP,Oats,30,1175,251900,214200,7495
1909,MP,Tame hay,1.16,3400,2145000,631000,24952
1909,MP,"Wheat, all",40,1345,35950,26750,1430
1909,NB,Barley,32,1575,2050,1300,65
1909,NB,"Beans, all dry (white and coloured)",99,3070,2150,700,212
1909,NB,Buckwheat,25,1550,37600,24250,950
1909,NB,Corn for silage,0.35,36670,11000,300,38
1909,NB,Mixed grains,30,1650,3300,2000,98
1909,NB,Oats,31,1060,89050,83850,2801
1909,NB,"Peas, dry",49,1790,1700,950,84
1909,NB,"Rye, all",29,1260,102,81,3
1909,NB,Tame hay,1.13,2810,777000,277000,8777
1909,NB,"Wheat, all",41,1350,10750,7950,440
1909,NS,Barley,35,1335,4800,3600,170
1909,NS,"Beans, all dry (white and coloured)",83,1955,2250,1150,186
1909,NS,Buckwheat,29,1375,10250,7450,294
1909,NS,Corn for silage,0.94,13330,8000,600,75
1909,NS,Mixed grains,31,1805,5150,2850,159
1909,NS,Oats,33,1200,67200,55900,2214
1909,NS,"Peas, dry",46,2635,1450,550,66
1909,NS,"Rye, all",30,2000,400,200,12
1909,NS,Tame hay,1.24,3950,1016000,257000,12602
1909,NS,"Wheat, all",43,1335,11000,8250,477
1909,ON,Barley,26,1560,456200,292000,11670
1909,ON,"Beans, all dry (white and coloured)",41,1540,24600,16000,1000
1909,ON,Buckwheat,26,1465,76900,52500,1993
1909,ON,Corn for grain,26,3590,463000,129000,11837
1909,ON,Corn for silage,0.61,22630,2082000,92000,12691
1909,ON,Mixed grains,26,1745,297800,170900,7864
1909,ON,Oats,27,1325,1684000,1271600,45315
1909,ON,"Peas, dry",31,1425,197000,138100,6008
1909,ON,"Rye, all",28,1205,27900,23200,770
1909,ON,Sugar beets,0.66,19800,63500,3200,420
1909,ON,Tame hay,1.4,3030,4330000,1431000,60618
1909,ON,"Wheat, all",37,1550,442200,285500,16370
1909,ON,"Wheat, spring",36,1170,59200,50500,2115
1909,ON,"Wheat, winter remaining",37,1630,383000,NA,14255
1909,PP,Barley,17,1660,683000,412000,11563
1909,PP,Flaxseed,49,1005,56300,56000,2761
1909,PP,Oats,17,1740,2860000,1642000,49689
1909,PP,"Peas, dry",17,1300,650,500,11
1909,PP,"Rye, all",24,1165,7000,6000,168
1909,PP,Sugar beets,0.55,18100,14500,800,80
1909,PP,Tame hay,0.85,3360,269000,80000,2278
1909,PP,"Wheat, all",30,1440,4014000,2783000,121560
1909,PEI,Barley,27,1540,3700,2400,99
1909,PEI,Buckwheat,25,1290,2000,1550,50
1909,PEI,Corn for silage,0.36,3000,9000,300,32
1909,PEI,Mixed grains,25,2035,12200,6000,304
1909,PEI,Oats,26,1285,95650,74450,2480
1909,PEI,"Peas, dry",35,1600,400,250,14
1909,PEI,Tame hay,1.01,3630,352000,97000,3572
1909,PEI,"Wheat, all",36,1345,14200,10550,513
1909,QU,Barley,33,1290,56700,43900,1867
1909,QU,"Beans, all dry (white and coloured)",69,1480,6950,4700,478
1909,QU,Buckwheat,29,1510,43150,28600,1267
1909,QU,Corn for grain,35,2045,26600,13000,923
1909,QU,Corn for silage,0.55,25530,411000,16100,2279
1909,QU,Mixed grains,32,1440,77400,53800,2491
1909,QU,Oats,30,1030,655500,637000,19891
1909,QU,"Peas, dry",46,1090,20450,18800,941
1909,QU,"Rye, all",35,1105,8500,7700,301
1909,QU,Tame hay,1.1,3410,4032000,1183000,44440
1909,QU,"Wheat, all",43,1125,45700,40700,1960
1909,SK,Barley,17,1780,98000,55000,1618
1909,SK,Flaxseed,49,1010,45400,45000,2229
1909,SK,Oats,16,1895,1416000,747000,23224
1909,SK,"Rye, all",41,1000,1000,1000,41
1909,SK,Tame hay,0.55,3300,33000,10000,180
1909,SK,"Wheat, all",30,1555,2319000,1491000,68669
1910,AB,Barley,20,1100,54000,49000,1075
1910,AB,Corn for silage,0.9,4000,2000,500,18
1910,AB,Flaxseed,82,155,2000,13000,163
1910,AB,Mixed grains,21,1145,800,700,17
1910,AB,Oats,22,825,261000,317000,5749
1910,AB,"Peas, dry",40,1000,100,100,4
1910,AB,"Rye, all",20,1000,3000,3000,59
1910,AB,Sugar beets,0.55,13200,5300,400,29
1910,AB,Tame hay,1.12,1970,118000,60000,1321
1910,AB,"Wheat, all",27,695,247000,356000,6676
1910,BC,Barley,39,1375,1100,800,43
1910,BC,"Beans, all dry (white and coloured)",87,1500,150,100,13
1910,BC,Corn for silage,0.6,15000,3000,200,18
1910,BC,Mixed grains,44,1250,250,200,11
1910,BC,Oats,37,2030,27200,13400,1005
1910,BC,"Peas, dry",37,2000,1200,600,44
1910,BC,"Rye, all",30,1000,200,200,6
1910,BC,Tame hay,2,3600,198000,55000,3963
1910,BC,"Wheat, all",40,1475,5600,3800,224
1910,CA,Barley,23,1215,628550,518350,14654
1910,CA,"Beans, all dry (white and coloured)",63,1210,22550,18600,1417
1910,CA,Buckwheat,26,1070,156800,146450,4095
1910,CA,Corn for grain,21,3065,363600,118600,7664
1910,CA,Corn for silage,0.36,20630,2456000,119050,8775
1910,CA,Flaxseed,82,455,107850,236100,8870
1910,CA,Mixed grains,24,1545,267150,172750,6308
1910,CA,Oats,23,1080,3785150,3502600,86796
1910,CA,"Peas, dry",32,910,130450,143650,4196
1910,CA,"Rye, all",26,850,39900,46900,1038
1910,CA,Sugar beets,0.64,24700,170500,6900,1096
1910,CA,Tame hay,0.96,2820,9545000,3384000,91289
1910,CA,"Wheat, all",29,1000,3595200,3587950,104817
1910,MA,Barley,21,845,142000,168000,2925
1910,MA,Corn for silage,0.72,6840,13000,1900,94
1910,MA,Flaxseed,86,320,4500,14000,387
1910,MA,Mixed grains,20,1000,200,200,4
1910,MA,Oats,21,955,468000,489000,9903
1910,MA,"Peas, dry",40,1500,150,100,6
1910,MA,"Rye, all",20,1000,1000,1000,20
1910,MA,Tame hay,0.89,1900,114000,60000,1020
1910,MA,"Wheat, all",31,830,929000,1117000,28584
1910,MP,Barley,33,1305,6850,5250,224
1910,MP,Mixed grains,25,1670,6600,3950,167
1910,MP,Oats,27,1090,211650,193800,5742
1910,MP,Tame hay,0.91,2670,1496000,561000,13597
1910,MP,"Wheat, all",38,1155,25300,21950,953
1910,NB,Barley,34,1190,1250,1050,42
1910,NB,"Beans, all dry (white and coloured)",73,1500,150,100,11
1910,NB,Buckwheat,24,1060,25050,23650,609
1910,NB,Corn for silage,0.45,20000,2000,100,9
1910,NB,Mixed grains,30,1335,400,300,12
1910,NB,Oats,27,1050,85400,81400,2332
1910,NB,"Peas, dry",40,1335,200,150,8
1910,NB,"Rye, all",0,1000,0,0,0
1910,NB,Tame hay,0.83,2380,607000,255000,5035
1910,NB,"Wheat, all",39,1030,5550,5400,218
1910,NS,Barley,37,1410,3100,2200,114
1910,NS,"Beans, all dry (white and coloured)",80,1165,350,300,28
1910,NS,Buckwheat,29,1170,4500,3850,132
1910,NS,Corn for silage,0.42,20000,5000,250,21
1910,NS,Mixed grains,31,1685,1600,950,49
1910,NS,Oats,32,1175,45850,38950,1466
1910,NS,"Peas, dry",60,1000,50,50,3
1910,NS,"Rye, all",50,500,100,200,5
1910,NS,Tame hay,0.99,3000,657000,219000,6533
1910,NS,"Wheat, all",38,1230,6100,4950,230
1910,ON,Barley,24,1505,306700,203600,7414
1910,ON,"Beans, all dry (white and coloured)",61,1205,19800,16400,1214
1910,ON,Buckwheat,23,1070,72550,67700,1699
1910,ON,Corn for grain,20,3145,349000,111000,7146
1910,ON,Corn for silage,0.34,21050,2084000,99000,7109
1910,ON,Flaxseed,65,590,2100,3550,136
1910,ON,Mixed grains,23,1650,216300,130900,4889
1910,ON,Oats,23,1195,1387000,1162000,31623
1910,ON,"Peas, dry",31,900,117350,130300,3655
1910,ON,"Rye, all",26,835,31300,37500,807
1910,ON,Sugar beets,0.65,25400,165200,6500,1067
1910,ON,Tame hay,0.96,3110,4103000,1320000,39526
1910,ON,"Wheat, all",32,1530,539900,352700,17090
1910,ON,"Wheat, spring",32,1205,53900,44700,1702
1910,ON,"Wheat, winter remaining",32,1580,486000,NA,15362
1910,PP,Barley,20,980,263000,269000,5300
1910,PP,Corn for silage,0.74,5930,16000,2700,118
1910,PP,Flaxseed,83,455,105400,232000,8709
1910,PP,Mixed grains,22,1090,1200,1100,26
1910,PP,Oats,20,1045,1638000,1570000,33275
1910,PP,"Peas, dry",37,1165,350,300,13
1910,PP,"Rye, all",19,1000,4500,4500,86
1910,PP,Sugar beets,0.55,13200,5300,400,29
1910,PP,Tame hay,0.98,1950,273000,140000,2663
1910,PP,"Wheat, all",29,940,2999000,3184000,85474
1910,PEI,Barley,27,1250,2500,2000,68
1910,PEI,Buckwheat,27,1000,950,950,26
1910,PEI,Corn for silage,0.35,2000,2000,100,7
1910,PEI,Mixed grains,23,1705,4600,2700,105
1910,PEI,Oats,24,1095,80400,73450,1943
1910,PEI,"Peas, dry",20,500,50,0,1
1910,PEI,Tame hay,0.87,2670,232000,87000,2029
1910,PEI,"Wheat, all",37,1175,13650,11600,505
1910,QU,Barley,33,1280,50900,39700,1673
1910,QU,"Beans, all dry (white and coloured)",72,1235,2100,1700,151
1910,QU,Buckwheat,30,1070,53750,50300,1629
1910,QU,Corn for grain,35,1920,14600,7600,518
1910,QU,Corn for silage,0.43,20600,344000,16700,1494
1910,QU,Flaxseed,71,635,350,550,25
1910,QU,Mixed grains,28,1170,42800,36600,1216
1910,QU,Oats,29,925,521300,563400,15151
1910,QU,"Peas, dry",42,920,11250,12250,472
1910,QU,"Rye, all",35,845,3800,4500,133
1910,QU,Tame hay,0.91,2660,3475000,1308000,31539
1910,QU,"Wheat, all",42,995,25400,25500,1076
1910,SK,Barley,19,1290,67000,52000,1300
1910,SK,Corn for silage,0.6,333,1000,300,6
1910,SK,Flaxseed,83,480,98900,205000,8160
1910,SK,Mixed grains,25,1000,200,200,5
1910,SK,Oats,19,1190,909000,764000,17624
1910,SK,"Peas, dry",30,1000,100,100,3
1910,SK,"Rye, all",12,500,500,500,6
1910,SK,Tame hay,0.79,2050,41000,20000,322
1910,SK,"Wheat, all",28,1065,1823000,1711000,50213
1911,AB,Barley,19,1440,95000,66000,1783
1911,AB,Corn for silage,1.1,3330,1000,300,11
1911,AB,Flaxseed,47,660,28300,43000,1339
1911,AB,Mixed grains,21,1545,1700,1100,35
1911,AB,Oats,18,1840,910000,494000,16516
1911,AB,"Peas, dry",45,1000,200,200,9
1911,AB,"Rye, all",24,1665,10000,6000,240
1911,AB,Sugar beets,0.55,18100,12700,700,70
1911,AB,Tame hay,1.35,3770,264000,70000,3557
1911,AB,"Wheat, all",23,1500,995000,664000,22516
1911,BC,Barley,32,2275,2500,1100,81
1911,BC,"Beans, all dry (white and coloured)",95,1335,200,150,19
1911,BC,Corn for silage,0.83,15000,3000,200,25
1911,BC,Mixed grains,35,1500,1350,900,47
1911,BC,Oats,37,2005,36700,18300,1355
1911,BC,"Peas, dry",53,2000,1200,600,63
1911,BC,"Rye, all",0,0,0,0,0
1911,BC,Tame hay,1.95,5400,308000,57000,5996
1911,BC,"Wheat, all",36,1910,10500,5500,383
1911,CA,Barley,26,1575,968700,615550,24731
1911,CA,"Beans, all dry (white and coloured)",71,1290,27600,21400,1956
1911,CA,Buckwheat,30,1220,184350,151100,5443
1911,CA,Corn for grain,25,3730,487400,130700,12360
1911,CA,Corn for silage,0.54,20270,2433000,120050,13063
1911,CA,Flaxseed,59,720,392200,546050,23179
1911,CA,Mixed grains,30,1505,320550,212650,9528
1911,CA,Oats,24,1445,5640100,3901300,133256
1911,CA,"Peas, dry",38,1065,127000,119400,4770
1911,CA,"Rye, all",30,1200,64325,53600,1906
1911,CA,Sugar beets,0.73,19100,158800,8300,1154
1911,CA,Tame hay,1.28,3660,13015000,3554000,166806
1911,CA,"Wheat, all",24,1400,6293500,4490250,148318
1911,MA,Barley,22,1800,326000,181000,7184
1911,MA,Corn for silage,0.99,17250,69000,4000,684
1911,MA,Flaxseed,69,915,29200,32000,2022
1911,MA,Mixed grains,22,1835,1100,600,24
1911,MA,Oats,21,1750,925000,529000,19204
1911,MA,"Peas, dry",44,1250,250,200,11
1911,MA,"Rye, all",24,1500,3000,2000,73
1911,MA,Tame hay,1.05,3950,237000,60000,2500
1911,MA,"Wheat, all",25,1365,1710000,1252000,42089
1911,MP,Barley,29,1410,7400,5250,215
1911,MP,Mixed grains,27,1665,8900,5350,242
1911,MP,Oats,31,1115,220700,197700,6865
1911,MP,Tame hay,1.11,3420,1922000,562000,21328
1911,MP,"Wheat, all",38,1345,31800,23650,1209
1911,NB,Barley,19,1545,1700,1100,32
1911,NB,"Beans, all dry (white and coloured)",90,1335,200,150,18
1911,NB,Buckwheat,26,1420,37400,26350,979
1911,NB,Corn for silage,0.35,20000,2000,100,7
1911,NB,Mixed grains,29,1555,700,450,20
1911,NB,Oats,32,1100,92550,84000,3000
1911,NB,"Peas, dry",53,1500,450,300,24
1911,NB,"Rye, all",40,1000,25,0,1
1911,NB,Tame hay,0.9,3180,818000,257000,7333
1911,NB,"Wheat, all",39,1380,7800,5650,306
1911,NS,Barley,35,1380,3100,2250,109
1911,NS,"Beans, all dry (white and coloured)",78,1570,550,350,43
1911,NS,Buckwheat,30,1165,5600,4800,167
1911,NS,Corn for silage,0.68,16000,4000,250,27
1911,NS,Mixed grains,33,1445,2600,1800,86
1911,NS,Oats,34,1110,45150,40600,1551
1911,NS,"Peas, dry",47,1500,150,100,7
1911,NS,"Rye, all",35,1000,200,200,7
1911,NS,Tame hay,1.3,3820,830000,217000,10770
1911,NS,"Wheat, all",40,1415,7650,5400,309
1911,ON,Barley,32,1420,298800,210400,9608
1911,ON,"Beans, all dry (white and coloured)",70,1300,23800,18300,1671
1911,ON,Buckwheat,28,1150,83200,72300,2331
1911,ON,Corn for grain,25,3875,469000,121000,11629
1911,ON,Corn for silage,0.52,20590,2038000,99000,10628
1911,ON,Flaxseed,75,885,3100,3500,232
1911,ON,Mixed grains,29,1565,246300,157500,7121
1911,ON,Oats,29,1150,1306900,1135600,38134
1911,ON,"Peas, dry",36,1055,110400,104550,3935
1911,ON,"Rye, all",31,1120,44000,39200,1351
1911,ON,Sugar beets,0.74,19200,146100,7600,1084
1911,ON,Tame hay,1.53,3100,4421000,1425000,67731
1911,ON,"Wheat, all",32,1380,537000,389400,17231
1911,ON,"Wheat, spring",33,1165,61000,52400,2016
1911,ON,"Wheat, winter remaining",32,1410,476000,NA,15215
1911,PP,Barley,21,1705,610000,358000,13036
1911,PP,Corn for silage,0.97,15920,78000,4900,754
1911,PP,Flaxseed,59,715,388700,542000,22920
1911,PP,Mixed grains,23,1640,4100,2500,94
1911,PP,Oats,19,1775,3494000,1967000,66907
1911,PP,"Peas, dry",45,1085,650,600,29
1911,PP,"Rye, all",23,1665,15000,9000,345
1911,PP,Sugar beets,0.55,18100,12700,700,70
1911,PP,Tame hay,1.19,3790,568000,150000,6781
1911,PP,"Wheat, all",23,1405,5680000,4043000,128012
1911,PEI,Barley,28,1370,2600,1900,74
1911,PEI,Buckwheat,28,1435,1650,1150,46
1911,PEI,Corn for silage,0.3,3000,3000,100,9
1911,PEI,Mixed grains,24,1805,5600,3100,136
1911,PEI,Oats,28,1135,83000,73100,2314
1911,PEI,"Peas, dry",40,1000,50,50,2
1911,PEI,Tame hay,1.18,3110,274000,88000,3225
1911,PEI,"Wheat, all",36,1300,16350,12600,594
1911,QU,Barley,36,1225,50000,40800,1791
1911,QU,"Beans, all dry (white and coloured)",72,1165,2850,2450,205
1911,QU,Buckwheat,34,1215,56500,46500,1920
1911,QU,Corn for grain,40,1895,18400,9700,731
1911,QU,Corn for silage,0.53,19680,305000,15500,1613
1911,QU,Flaxseed,68,725,400,550,27
1911,QU,Mixed grains,34,1290,59900,46400,2024
1911,QU,Oats,34,1000,581800,582700,19995
1911,QU,"Peas, dry",50,1070,14100,13200,710
1911,QU,"Rye, all",40,980,5100,5200,203
1911,QU,Tame hay,1.12,4260,5796000,1360000,64970
1911,QU,"Wheat, all",43,1190,34200,28700,1483
1911,SK,Barley,22,1705,189000,111000,4069
1911,SK,Corn for silage,0.74,1333,8000,600,59
1911,SK,Flaxseed,59,710,331200,467000,19559
1911,SK,Mixed grains,27,1625,1300,800,35
1911,SK,Oats,19,1755,1659000,944000,31187
1911,SK,"Peas, dry",45,1000,200,200,9
1911,SK,"Rye, all",16,2000,2000,1000,32
1911,SK,Tame hay,1.08,3350,67000,20000,724
1911,SK,"Wheat, all",21,1400,2975000,2127000,63407
1912,AB,Barley,15,1775,135000,76000,2039
1912,AB,Corn for silage,1,5000,1000,200,10
1912,AB,Flaxseed,36,810,43000,53000,1557
1912,AB,Mixed grains,20,1820,2000,1100,39
1912,AB,Oats,16,1765,1043000,591000,16231
1912,AB,"Peas, dry",32,1250,250,200,8
1912,AB,"Rye, all",21,1665,10000,6000,211
1912,AB,Sugar beets,0.57,14700,11800,800,67
1912,AB,Tame hay,1.01,4090,286000,70000,2900
1912,AB,"Wheat, all",20,1455,934000,643000,18459
1912,BC,Barley,30,2275,2500,1100,75
1912,BC,"Beans, all dry (white and coloured)",67,1000,150,150,10
1912,BC,Corn for silage,0.9,15000,3000,200,27
1912,BC,Mixed grains,32,1800,1800,1000,57
1912,BC,Oats,33,2125,38700,18200,1278
1912,BC,"Peas, dry",51,1915,1150,600,59
1912,BC,"Rye, all",0,0,0,0,0
1912,BC,Tame hay,1.92,5310,313000,59000,6021
1912,BC,"Wheat, all",36,2135,10900,5100,392
1912,CA,Barley,21,1680,1076500,640400,22354
1912,CA,"Beans, all dry (white and coloured)",80,1180,25050,21200,2008
1912,CA,Buckwheat,29,1420,229000,161350,6544
1912,CA,Corn for grain,24,3565,430100,120700,10534
1912,CA,Corn for silage,0.54,22660,2756000,121650,14977
1912,CA,Flaxseed,36,810,663800,817000,23608
1912,CA,Mixed grains,29,1750,351000,200800,10194
1912,CA,Oats,21,1500,6039750,4032900,126304
1912,CA,"Peas, dry",46,1010,106450,105200,4944
1912,CA,"Rye, all",28,1210,62000,51200,1755
1912,CA,Sugar beets,0.55,23700,182400,7700,1005
1912,CA,Tame hay,1.22,3330,11251000,3383000,137761
1912,CA,"Wheat, all",23,1370,6101350,4449450,139090
1912,MA,Barley,17,1770,345000,195000,5855
1912,MA,Corn for silage,1.22,16890,76000,4500,924
1912,MA,Flaxseed,41,795,31800,40000,1302
1912,MA,Mixed grains,22,2335,1400,600,31
1912,MA,Oats,18,1615,881000,546000,16003
1912,MA,"Peas, dry",60,1250,250,200,15
1912,MA,"Rye, all",20,1500,3000,2000,61
1912,MA,Tame hay,1.04,4050,243000,60000,2520
1912,MA,"Wheat, all",25,1495,1715000,1149000,42221
1912,MP,Barley,32,1550,7900,5100,253
1912,MP,Mixed grains,28,2120,10800,5100,297
1912,MP,Oats,31,1305,250350,192200,7868
1912,MP,Tame hay,1.26,3330,1780000,534000,22447
1912,MP,"Wheat, all",35,1255,29450,23450,1022
1912,NB,Barley,31,1455,1600,1100,49
1912,NB,"Beans, all dry (white and coloured)",120,1500,150,100,18
1912,NB,Buckwheat,28,1315,34050,25900,969
1912,NB,Corn for silage,0.8,10000,1000,100,8
1912,NB,Mixed grains,38,1375,550,400,21
1912,NB,Oats,34,1095,86450,78900,2972
1912,NB,"Peas, dry",60,1000,250,250,15
1912,NB,"Rye, all",0,0,0,0,0
1912,NB,Tame hay,1.12,3310,808000,244000,9018
1912,NB,"Wheat, all",28,1220,6400,5250,177
1912,NS,Barley,35,1550,3100,2000,110
1912,NS,"Beans, all dry (white and coloured)",92,1855,650,350,60
1912,NS,Buckwheat,30,1450,6450,4450,192
1912,NS,Corn for silage,0.54,20000,5000,250,27
1912,NS,Mixed grains,33,1905,3050,1600,102
1912,NS,Oats,34,1245,50400,40450,1732
1912,NS,"Peas, dry",60,1500,150,100,9
1912,NS,"Rye, all",40,1000,100,100,4
1912,NS,Tame hay,1.41,3540,747000,211000,10545
1912,NS,"Wheat, all",40,1370,7200,5250,286
1912,ON,Barley,28,1585,328600,207200,9207
1912,ON,"Beans, all dry (white and coloured)",78,1170,21800,18600,1706
1912,ON,Buckwheat,26,1440,118950,82600,3060
1912,ON,Corn for grain,24,3700,418000,113000,10044
1912,ON,Corn for silage,0.53,23880,2436000,102000,12997
1912,ON,Flaxseed,63,1000,3650,3650,231
1912,ON,Mixed grains,28,1845,276700,150100,7862
